Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones,Violaciones_Lipinski,Scaffold
C[C@H](CCC(=O)NCCOS(=O)(=O)[O-])[C@H]1CCC2C3C([C@H](O)C[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O.[Na+],6.157883333333325,6.182512494949493,6.17019791414141,1,C1CCC2C(C1)CCC1C3CCCC3CCC21
COC(=O)[C@H](CCC(=O)O)N1Cc2c(cc(O)c3c2O[C@]2(C3)[C@H](C)CC[C@H]3C(C)(C)[C@H](O)CC[C@@]32C)C1=O,6.1871888888888895,6.152682259499756,6.169935574194323,1,O=C1NCc2c1ccc1c2OC2(CCCC3CCCCC32)C1
CO/C(=C\c1ccc(O)cc1)C(=O)OC[C@H]1O[C@@H](n2cc(C)c(=O)[nH]c2=O)C[C@@H]1OC(=O)c1c[nH]c2cc(Br)c(O)cc12,6.244919444444437,6.094490769300142,6.169705106872289,1,O=C(C=Cc1ccccc1)OCC1OC(n2ccc(=O)[nH]c2=O)CC1OC(=O)c1c[nH]c2ccccc12
C/C(=C\C(=O)OCCCCCCCC(=O)Nc1c2sscc-2[nH]c1=O)CC1CC(O)C(O)(C/C=C/C(C)C(C)O)CO1,6.1081277777777805,6.2302652777777805,6.16919652777778,1,O=C(CCCCCCCOC(=O)C=CCC1CCCCO1)Nc1c2sscc-2[nH]c1=O
CC(=O)CCCCC(C)C1CC(O)C(C)C(=O)N[C@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)O1,6.310094444444442,6.026966121031744,6.168530282738093,1,O=C1CCCCOC(=O)C2CCCN2C(=O)C(Cc2ccccc2)N1
CCC[C@H]1CCCC(=O)N[C@@H](CO)CCC[C@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O1,6.108505555555552,6.227408892857143,6.167957224206347,0,O=C1CCCCOC(=O)C(Cc2ccccc2)NC(=O)CCCCCN1
COCc1cc(O)c(Cc2cc(O)c(Cc3cc(O)ccc3O)cc2O)cc1O,6.12527111111111,6.209920820346317,6.167595965728713,1,c1ccc(Cc2ccc(Cc3ccccc3)cc2)cc1
CC[C@H](C)/C=C(C)/C=C/C1=CC2=C(Cl)C(=O)[C@](C)(OC)C(=O)C2=CN1CCO,6.039797222222217,6.294874564093308,6.167335893157762,0,O=C1C=C2C=CNC=C2C(=O)C1
CN1C(=O)N=C(Nc2nc(Cc3ccc4c(c3)OCO4)c(Cc3ccc4c(c3)OCO4)n2C)C1=O,6.153385555555556,6.177022546296299,6.165204050925928,0,O=C1N=C(Nc2nc(Cc3ccc4c(c3)OCO4)c(Cc3ccc4c(c3)OCO4)[nH]2)C(=O)N1
O=C1C=CCCCCC[C@H]2O[C@]3(CCCCCC(C(O)CCCCCCCOC[C@H](CO)NS(=O)(=O)O)OC(=O)CN1)CCC[C@H]2O3,6.282466666666668,6.047614027777776,6.165040347222222,1,O=C1C=CCCCCCC2OC3(CCCCCCOC(=O)CN1)CCCC2O3
