Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones
CCCC(=O)N[C@@H](CC[S+](C)[O-])C(=O)N[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2CC[C@@H](O)N(C2=O)[C@@H]([C@@H](C)CC)C(=O)N(C)[C@@H](Cc2ccc(OC)c(Br)c2)C(=O)N[C@@H](C(C)C)C(=O)O[C@@H]1C,6.465277777777777,6.4196459523809475,6.442461865079363
COC1=C(Br)[C@@H](O)[C@]2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(CC(=NO)C(=O)NCCc3c[nH]c(N)n3)cc1Br)=NO2.Cl,6.700061111111115,6.182758498677246,6.44140980489418
CO[C@H](c1ccccc1)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](C[C@@H](C)CO)N(C)C(=O)[C@H]([C@H](O)c2cn(C(C)(C)[C@@H]3CO3)c3ccccc23)NC(=O)[C@H]([C@H](C)C=C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC1=O,6.48503888888889,6.396835562169308,6.440937225529099
Cc1ccc(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c2c1Oc1c(c(C(=O)N[C@@H]3C(=O)N[C@H](C(C)C)C(=O)N4CCC[C@H]4C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]3C)c3nc(CCC(=O)O)oc3c1C)N2,6.32778333333333,6.553470403439152,6.440626868386241
COC(=O)NC1=C2/C(=C\CS(C)(=S)=S)C(O)(C#C/C=C\C#CC2O[C@@H]2O[C@H](C)[C@@](SC)(C(CO)O[C@H]3C[C@H](O)[C@H](SC)[C@@H](C)O3)[C@H](O)[C@H]2O[C@H]2C[C@H](OC)[C@@H](NC(C)C)CO2)CC1=O,6.423716666666664,6.456543769841265,6.440130218253964
Oc1c(Br)c(Br)cc(Br)c1Oc1ccccc1Br,6.279793333333332,6.598789154401159,6.439291243867245
Oc1c(Br)cc(Br)c(Br)c1Oc1ccccc1Br,6.279793333333332,6.598789154401159,6.439291243867245
CCOCc1cc(O)c(O)c(Br)c1Cc1cc(O)c(O)c(Br)c1Br,6.322481111111111,6.555399590367968,6.438940350739539
COc1c(Br)cc(C[C@@H](NC(=O)Cc2ccc(OCCCNC(C)=O)cc2)C(=O)NCCc2cc(Br)c(O)c(Br)c2)cc1Br,6.5287444444444445,6.348762391774894,6.43875341810967
CC[C@](C)(NC(=O)[C@@H]1CCCCN1C(=O)C(C)(C)NC(=O)[C@@H]1CCCCN1C(C)=O)C(=O)NC(C)(C)C(=O)N[C@@H](CC(C)C)C(=O)NCCC(=O)NCC(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N1CCCC[C@H]1C(=O)NC(C)(C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)N[C@@H](CC(C)C)CN1CCC[N+]2=C1CCC2,6.433227777777778,6.443799738756614,6.438513758267196
CC[C@](C)(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)C(C)(C)NC(=O)[C@@H]1CCCCN1C(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)CNC(=O)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@](C)(CC)NC(=O)[C@](C)(CC)NC(=O)[C@@H]1CCCCN1C(=O)C(C)(C)NC(=O)[C@@H]1CCCCN1C(C)=O)C(=O)N[C@@H](CC(C)C)CN1CCC[N+]2=C1CCC2,6.432822222222223,6.443799738756614,6.438310980489419
