Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones,Violaciones_Lipinski
C/C1=C\[C@H](C)C[C@H](C)OC(=O)C[C@H](c2ccc(O)cc2)NC(=O)[C@@H](Cc2ncnc3ccccc23)N(C)C(=O)C(C)NC(=O)[C@@H](C)C1,6.282030000000003,6.408284563492059,6.345157281746031,1
CCCC(=O)N(C)[C@H](C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](C(=O)N(C)Cc1nccs1)C(C)C)C(C)C,6.460157777777782,6.228314017857144,6.344235897817463,1
CC[C@H](C)[C@H]1C(=O)N(C)[C@@H](C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](Cc2ccc(OC)cc2)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,6.493427777777778,6.194940505952384,6.344184141865081,1
CCC[C@@H](CC[C@@H](C)[C@@H]1OC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)CCO)N(C)C(=O)[C@]2(C)CSC(=N2)[C@H](C)NC(=O)C1(C)C)OC,6.454599999999998,6.230584853294849,6.342592426647424,1
CNCCCCN(C)CCCNC(=O)/C(Cc1cc(Br)c(OC)c(Br)c1)=N/O,6.462654444444441,6.213296914682533,6.337975679563487,1
O=S(=O)(O)OCCc1cc(O)c(O)c(Br)c1Cc1cc(O)c(O)c(Br)c1Br,6.361088888888892,6.313785368686871,6.337437128787881,1
C/C1=C\[C@H](C)C[C@H](C)OC(=O)C[C@H](c2ccc(O)cc2)NC(=O)[C@@H](Cc2c(Br)[nH]c3ccccc23)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)C1O,6.3889000000000005,6.28581522486772,6.33735761243386,1
COC1=C(Br)C[C@]2(OC=C1Br)ON=C(C(=O)NCCCOc1c(Br)cc(CCNC(C)=O)cc1Br)[C@@H]2OC(C)=O,6.629783333333328,6.042687546296296,6.336235439814812,1
COC1=C(Br)[C@H](O)[C@]2(CC(C(=O)NCCCOc3c(Br)cc(CCNS(=O)(=O)O)cc3Br)=NO2)CC1Br,6.495983333333336,6.1747861772486745,6.335384755291005,1
CSCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](CC[S+](C)[O-])NC(=O)c2csc(n2)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C1=O,6.389452222222223,6.2809435019841295,6.335197862103176,1
COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(CCN(O)C=O)cc1Br)=NO2,6.49288,6.169133300264548,6.331006650132274,1
CN[C@@]12CN3[C@@H](C[C@@H](OC(=O)[C@H](C(C)C)N(C)C)C[C@H]3C)C[C@@]1(O)C(C)(C)[C@@]1(C2)C(=O)Nc2c(C(=O)[C@H]3OC3(C)C)cccc21,6.420249999999999,6.23971183201058,6.329980916005289,1
CN[C@]12CN3[C@H](C[C@H](OC(=O)[C@H](C(C)C)N(C)C)C[C@@H]3C)C[C@]1(O)C(C)(C)[C@@]1(C2)C(=O)Nc2c(C(=O)[C@H]3OC3(C)C)cccc21,6.420249999999999,6.23971183201058,6.329980916005289,1
CN[C@]12CN3[C@H](C[C@H](OC(=O)[C@H](C(C)C)N(C)C)C[C@@H]3C)C[C@]1(O)C(C)(C)[C@]1(C2)C(=O)Nc2c(C(=O)C3OC3(C)C)cccc21,6.420249999999999,6.23971183201058,6.329980916005289,1
CC(=O)Nc1cc(COCc2ccc(O)c(NC(C)=O)c2)ccc1O,6.3894888888888905,6.268820695165947,6.329154792027419,0
Oc1ccc(Br)cc1Oc1ccc(Br)cc1,6.059320000000007,6.598789154401159,6.329054577200584,0
O=C(NCCc1ccc(OS(=O)(=O)[O-])c(Br)c1)/C(Cc1cc(Br)c(O)c(Br)c1)=N/O.[Na+],6.552967777777778,6.102350259920637,6.327659018849207,1
COC1=C(Br)C[C@]2(OC=C1Br)ON=C(C(=O)NCCCOc1c(Br)cc(C(OC)OC)cc1Br)[C@@H]2O,6.594060000000002,6.06026845238095,6.327164226190476,1
CC[C@H]1C=CCC[C@@]2(C[C@@H]3CC[C@H]4[C@@H](C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)CC(O)CCN)[C@@]5(CCC[C@@H](C)O5)NC(=[N+]34)N2)O1.[Cl-],6.260233333333334,6.39338684523809,6.326810089285711,1
CC[C@H]1C=CCC[C@@]2(C[C@@H]3CC[C@@H]4[C@H](C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](O)CCN)[C@]5(CCC[C@@H](C)O5)NC(=[N+]34)N2)O1.[Cl-],6.260233333333334,6.39338684523809,6.326810089285711,1
CN1C(=O)N(C)[C@]2(Oc3c(O)cc4c(c3C3=C2C(=O)c2c(CCN)c[nH]c2C3=O)CC[N+]4(C)C)C1=O,6.141555555555556,6.510105403439152,6.325830479497354,0
