Smiles,MACCS_36,MACCS_38,MACCS_42,MACCS_50,MACCS_57,MACCS_62,MACCS_65,MACCS_72,MACCS_75,MACCS_79,MACCS_80,MACCS_83,MACCS_86,MACCS_87,MACCS_89,MACCS_90,MACCS_92,MACCS_93,MACCS_95,MACCS_97,MACCS_98,MACCS_99,MACCS_101,MACCS_103,MACCS_104,MACCS_108,MACCS_109,MACCS_111,MACCS_113,MACCS_115,MACCS_116,MACCS_120,MACCS_126,MACCS_128,MACCS_129,MACCS_131,MACCS_132,MACCS_133,MACCS_136,MACCS_139,MACCS_140,MACCS_142,MACCS_146,MACCS_149,MACCS_150,MACCS_151,MACCS_155,MACCS_159,MACCS_160
COc1cc(O)c2c(c1)/C=C/C[C@@H](O)[C@H](O)C(=O)/C=C/C[C@H](C)OC2=O,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1
C=c1c(=O)n2c(cc3ccccc32)c(=O)n1C,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
COC(=O)[C@@]12CCC(C(C)C)=C[C@H]1[C@@]1(C(=O)OC)CC[C@@H](O)[C@@](C)(O)CC[C@H]21,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
CC(C)=C1NC(=O)[C@@H](C[C@]2(O)c3ccccc3N3C(=O)[C@H](C(C)C)N[C@H]32)n2c1nc1ccccc1c2=O,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
CO[C@H]1C2=COC(C)=CC2=C(C=O)C(=O)[C@@]1(C)O,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1
COC(=O)[C@@H](OC(C)=O)[C@H]1[C@]2(C)C[C@]3(O)[C@H]([C@H]2OC(C)=O)[C@@H](OC(C)=O)[C@]2(O)[C@@H]4CC(=O)O[C@@H](c5ccoc5)[C@]4(C)[C@H](OC(C)=O)C[C@@H]2[C@]13C,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1
CC(COS(=O)(=O)O)C(=O)CC[C@@H](C)[C@H]1CCC2C3C(CC[C@@]21C)[C@@]1(C)CC[C@H](NCCCNCCCCN)CC1C[C@H]3O,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CC(=O)O[C@@H](CO)COC(=O)[C@@H]1C(C)=CCC2[C@@]3(C)CCCC(C)(C)C3CC[C@]21C,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1
CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C(=O)O)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)C1CC3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1
CC(=O)CC1Cc2cc3c(c(O)c2C(=O)O1)C(=O)c1c(O)cccc1C3=O,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1
C[C@@]12CCCc3coc(c31)C(=O)c1cc3c(cc12)C(=O)C1=C(NCCS1(=O)=O)C3=O,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1
CCCCCCCCCCCCCCCCCCCC[C@@H](O)C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)[C@H](O)[C@H](O)CCCCCCCCCCC(C)C,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CC(=O)c1cc2c(cc1O)O[C@@]1(C)OC[C@H](C)[C@H]1C2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1
COc1ccc(O)c(O)c1CC1=C(C)CCC2C(C)(C)CCC[C@]12C,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1
COC(=O)[C@@H]1CC[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3C[C@@H](OC(C)=O)[C@@]2(C)[C@@H]1O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1
